CUSIP,INVENTORY,ISSUER,COUPON,MATURITY,PRICE,YIELD,quote_date,settle_date
68333ZAH0,918000,"ONTARIO, PROVINCE OF",2.05,2030-06-02 00:00:00,94.912,3.076090519215208,2024-12-30,2024-12-31
803854KJ6,999000,"SASKATCHEWAN, PROVINCE O",2.2,2030-06-02 00:00:00,95.556,3.096697195851455,2024-12-30,2024-12-31
110709GK2,810000,"BRITISH COLUMBIA, PROVIN",2.2,2030-06-18 00:00:00,95.54,3.093301145725926,2024-12-30,2024-12-31
74814ZFG3,100000,"QUEBEC, PROVINCE OF",1.9,2030-09-01 00:00:00,93.602,3.141212009427377,2024-12-30,2024-12-31
669827GC5,1000000,"NOVA SCOTIA, PROVINCE OF",2,2030-09-01 00:00:00,94.158,3.133030560554348,2024-12-30,2024-12-31
651333EZ5,250000,"NEWFOUNDLAND, PROVINCE O",6.55,2030-10-17 00:00:00,117.124,3.279503351524026,2024-12-30,2024-12-31
68333ZAN7,25000,"ONTARIO, PROVINCE OF",1.35,2030-12-02 00:00:00,90.246,3.169819432169825,2024-12-30,2024-12-31
56344ZCG2,50000,"MANITOBA, PROVINCE OF",6.3,2031-03-05 00:00:00,116.584,3.308315648049095,2024-12-30,2024-12-31
563469CX1,250000,"MANITOBA, PROVINCE OF",10.5,2031-03-05 00:00:00,139.901,3.303841344251736,2024-12-30,2024-12-31
74814ZFM0,1000000,"QUEBEC, PROVINCE OF",2.1,2031-05-27 00:00:00,93.593,3.214415352682291,2024-12-30,2024-12-31
013051EP8,960000,"ALBERTA, PROVINCE OF",1.65,2031-06-01 00:00:00,90.98,3.216647989084955,2024-12-30,2024-12-31
01306ZDF5,815000,"ALBERTA, PROVINCE OF",3.5,2031-06-01 00:00:00,101.536,3.232715075555472,2024-12-30,2024-12-31
803854KP2,1000000,"SASKATCHEWAN, PROVINCE O",2.15,2031-06-02 00:00:00,93.783,3.229765023392167,2024-12-30,2024-12-31
651333GG5,1000000,"NEWFOUNDLAND, PROVINCE O",2.05,2031-06-02 00:00:00,92.611,3.337940451343045,2024-12-30,2024-12-31
563469UX1,50000,"MANITOBA, PROVINCE OF",2.05,2031-06-02 00:00:00,92.977,3.271461239715322,2024-12-30,2024-12-31
683234NM6,231000,"ONTARIO, PROVINCE OF",6.2,2031-06-02 00:00:00,116.925,3.25673384141338,2024-12-30,2024-12-31
68333ZAP2,798000,"ONTARIO, PROVINCE OF",2.15,2031-06-02 00:00:00,93.838,3.219862034599184,2024-12-30,2024-12-31
110709AF9,807000,"BRITISH COLUMBIA, PROVIN",1.55,2031-06-18 00:00:00,90.258,3.231987366879342,2024-12-30,2024-12-31
110709EX6,246000,"BRITISH COLUMBIA, PROVIN",6.35,2031-06-18 00:00:00,117.856,3.263460578713019,2024-12-30,2024-12-31
642866GT8,991000,"NEW BRUNSWICK, PROVINCE",2.55,2031-08-14 00:00:00,95.494,3.313070549576968,2024-12-30,2024-12-31
448814GY3,100000,HYDRO-QUEBEC,6,2031-08-15 00:00:00,115.864,3.312594728532183,2024-12-30,2024-12-31
74814ZFH1,811000,"QUEBEC, PROVINCE OF",1.5,2031-09-01 00:00:00,89.497,3.265950833270368,2024-12-30,2024-12-31
803854HN1,240000,"SASKATCHEWAN, PROVINCE O",6.4,2031-09-05 00:00:00,118.412,3.303472452797983,2024-12-30,2024-12-31
669827EW3,25000,"NOVA SCOTIA, PROVINCE OF",6.6,2031-12-01 00:00:00,119.559,3.402301894249225,2024-12-30,2024-12-31
669827GE1,100000,"NOVA SCOTIA, PROVINCE OF",2.4,2031-12-01 00:00:00,94.025,3.375516215072757,2024-12-30,2024-12-31
68333ZAT4,831000,"ONTARIO, PROVINCE OF",2.25,2031-12-02 00:00:00,93.445,3.317703479142986,2024-12-30,2024-12-31
68333ZAX5,100000,"ONTARIO, PROVINCE OF",4.05,2032-02-02 00:00:00,104.184,3.380943028618826,2024-12-30,2024-12-31
74814ZFP3,991000,"QUEBEC, PROVINCE OF",3.65,2032-05-20 00:00:00,101.698,3.387822837439759,2024-12-30,2024-12-31
748148QT3,2250000,"QUEBEC, PROVINCE OF",6.25,2032-06-01 00:00:00,117.818,3.501053410121989,2024-12-30,2024-12-31
68333ZAU1,100000,"ONTARIO, PROVINCE OF",3.75,2032-06-02 00:00:00,101.989,3.44363084970102,2024-12-30,2024-12-31
110709GL0,850000,"BRITISH COLUMBIA, PROVIN",3.2,2032-06-18 00:00:00,98.456,3.436135652788413,2024-12-30,2024-12-31
642866HA8,100000,"NEW BRUNSWICK, PROVINCE",3.95,2032-08-14 00:00:00,103.067,3.487820695515725,2024-12-30,2024-12-31
74814ZFN8,100000,"QUEBEC, PROVINCE OF",3.25,2032-09-01 00:00:00,98.431,3.48452961135284,2024-12-30,2024-12-31
74814ZFR9,1000000,"QUEBEC, PROVINCE OF",3.9,2032-11-22 00:00:00,103.103,3.447157452932375,2024-12-30,2024-12-31
563469VA0,100000,"MANITOBA, PROVINCE OF",3.9,2032-12-02 00:00:00,102.59,3.522080285738586,2024-12-30,2024-12-31
683234SL3,81000,"ONTARIO, PROVINCE OF",5.85,2033-03-08 00:00:00,115.878,3.592823277130428,2024-12-30,2024-12-31
669827FL6,1000000,"NOVA SCOTIA, PROVINCE OF",5.8,2033-06-01 00:00:00,115.789,3.607834349280679,2024-12-30,2024-12-31
669827GG6,1000000,"NOVA SCOTIA, PROVINCE OF",4.05,2033-06-01 00:00:00,103.323,3.588758336185261,2024-12-30,2024-12-31
013051ER4,1000000,"ALBERTA, PROVINCE OF",4.15,2033-06-01 00:00:00,104.332,3.549783614486179,2024-12-30,2024-12-31
68333ZAY3,100000,"ONTARIO, PROVINCE OF",3.65,2033-06-02 00:00:00,100.506,3.579564678176641,2024-12-30,2024-12-31
651333GM2,1000000,"NEWFOUNDLAND, PROVINCE O",4.15,2033-06-02 00:00:00,103.604,3.648667125671022,2024-12-30,2024-12-31
563469VB8,1000000,"MANITOBA, PROVINCE OF",3.8,2033-06-02 00:00:00,101.459,3.597307759677924,2024-12-30,2024-12-31
803854KU1,100000,"SASKATCHEWAN, PROVINCE O",3.9,2033-06-02 00:00:00,102.335,3.576078537036592,2024-12-30,2024-12-31
642866HB6,1000000,"NEW BRUNSWICK, PROVINCE",4.45,2033-08-14 00:00:00,106.146,3.613524857041225,2024-12-30,2024-12-31
74814ZFS7,100000,"QUEBEC, PROVINCE OF",3.6,2033-09-01 00:00:00,99.979,3.602360357708552,2024-12-30,2024-12-31
803854JA7,1000000,"SASKATCHEWAN, PROVINCE O",5.8,2033-09-05 00:00:00,116.133,3.616305165879503,2024-12-30,2024-12-31
01306ZDC2,608000,"ALBERTA, PROVINCE OF",3.9,2033-12-01 00:00:00,102.31,3.594612603566115,2024-12-30,2024-12-31
642866FR3,249000,"NEW BRUNSWICK, PROVINCE",5.5,2034-01-27 00:00:00,113.987,3.67295340738219,2024-12-30,2024-12-31
31739ZAG0,250000,FINANCEMENT QUEBEC,5.25,2034-06-01 00:00:00,111.557,3.779623516268372,2024-12-30,2024-12-31
68333ZBC0,920000,"ONTARIO, PROVINCE OF",4.15,2034-06-02 00:00:00,103.672,3.684781074799524,2024-12-30,2024-12-31
110709AK8,368000,"BRITISH COLUMBIA, PROVIN",4.15,2034-06-18 00:00:00,103.564,3.700054516203215,2024-12-30,2024-12-31
74814ZFT5,100000,"QUEBEC, PROVINCE OF",4.45,2034-09-01 00:00:00,105.475,3.768325449868153,2024-12-30,2024-12-31
68333ZBG1,100000,"ONTARIO, PROVINCE OF",3.8,2034-12-02 00:00:00,100.274,3.766354764754278,2024-12-30,2024-12-31
44889ZBF2,250000,HYDRO-QUEBEC,6.5,2035-01-16 00:00:00,123.025,3.72995422827972,2024-12-30,2024-12-31
44889ZCM6,241000,HYDRO-QUEBEC,6.5,2035-02-15 00:00:00,123.628,3.682507971942904,2024-12-30,2024-12-31
683234VR6,901000,"ONTARIO, PROVINCE OF",5.6,2035-06-02 00:00:00,116.218,3.70892589686524,2024-12-30,2024-12-31
110709FJ6,698000,"BRITISH COLUMBIA, PROVIN",5.4,2035-06-18 00:00:00,114.246,3.741985565749002,2024-12-30,2024-12-31
803854JH2,1000000,"SASKATCHEWAN, PROVINCE O",5.6,2035-09-05 00:00:00,116.686,3.69390929314546,2024-12-30,2024-12-31
642866FW2,397000,"NEW BRUNSWICK, PROVINCE",4.65,2035-09-26 00:00:00,108.035,3.734007039623072,2024-12-30,2024-12-31
748148RL9,494000,"QUEBEC, PROVINCE OF",5.75,2036-12-01 00:00:00,118.422,3.811791913234414,2024-12-30,2024-12-31
563469EZ4,497000,"MANITOBA, PROVINCE OF",5.7,2037-03-05 00:00:00,117.279,3.902980309063485,2024-12-30,2024-12-31
803854JJ8,500000,"SASKATCHEWAN, PROVINCE O",5,2037-03-05 00:00:00,111.525,3.807823781931308,2024-12-30,2024-12-31
642866FZ5,500000,"NEW BRUNSWICK, PROVINCE",4.55,2037-03-26 00:00:00,106.354,3.891737850723724,2024-12-30,2024-12-31
669827FQ5,802000,"NOVA SCOTIA, PROVINCE OF",4.5,2037-06-01 00:00:00,106.221,3.864208978879928,2024-12-30,2024-12-31
683234YD4,852000,"ONTARIO, PROVINCE OF",4.7,2037-06-02 00:00:00,108.661,3.817527083892736,2024-12-30,2024-12-31
110709FL1,778000,"BRITISH COLUMBIA, PROVIN",4.7,2037-06-18 00:00:00,108.378,3.847366989888365,2024-12-30,2024-12-31
563469FL4,489000,"MANITOBA, PROVINCE OF",4.6,2038-03-05 00:00:00,106.596,3.952479920310467,2024-12-30,2024-12-31
74814ZDK6,100000,"QUEBEC, PROVINCE OF",5,2038-12-01 00:00:00,110.931,3.969845379161892,2024-12-30,2024-12-31
683234ZP6,439000,"ONTARIO, PROVINCE OF",4.6,2039-06-02 00:00:00,108.93,3.790194577957055,2024-12-30,2024-12-31
642866GA9,500000,"NEW BRUNSWICK, PROVINCE",4.8,2039-09-26 00:00:00,108.715,4.010398243208942,2024-12-30,2024-12-31
683234NL8,250000,"ONTARIO, PROVINCE OF",5.7,2039-12-02 00:00:00,118.713,4.019784991576044,2024-12-30,2024-12-31
44889ZCN4,206000,HYDRO-QUEBEC,6,2040-02-15 00:00:00,122.632,3.991834436673359,2024-12-30,2024-12-31
563469FQ3,392000,"MANITOBA, PROVINCE OF",4.65,2040-03-05 00:00:00,106.501,4.071089297086546,2024-12-30,2024-12-31
803854JL3,500000,"SASKATCHEWAN, PROVINCE O",4.75,2040-06-01 00:00:00,108.995,3.964359006120025,2024-12-30,2024-12-31
110709FY3,500000,"BRITISH COLUMBIA, PROVIN",4.95,2040-06-18 00:00:00,111.131,3.979125588248343,2024-12-30,2024-12-31
651333FR2,500000,"NEWFOUNDLAND, PROVINCE O",4.65,2040-10-17 00:00:00,105.289,4.188360920730796,2024-12-30,2024-12-31
013051DB0,457000,"ALBERTA, PROVINCE OF",4.5,2040-12-01 00:00:00,105.994,3.98749202374893,2024-12-30,2024-12-31
563469TM7,500000,"MANITOBA, PROVINCE OF",4.1,2041-03-05 00:00:00,99.833,4.113831619866621,2024-12-30,2024-12-31
669827FW2,500000,"NOVA SCOTIA, PROVINCE OF",4.7,2041-06-01 00:00:00,107.074,4.103293599557444,2024-12-30,2024-12-31
683234B98,286000,"ONTARIO, PROVINCE OF",4.65,2041-06-02 00:00:00,107.459,4.024582354425004,2024-12-30,2024-12-31
642869AA9,304000,"NEW BRUNSWICK, PROVINCE",4.8,2041-06-03 00:00:00,108.248,4.104425008911992,2024-12-30,2024-12-31
74814ZEF6,484000,"QUEBEC, PROVINCE OF",5,2041-12-01 00:00:00,111.273,4.071253404894202,2024-12-30,2024-12-31
803854JT6,422000,"SASKATCHEWAN, PROVINCE O",3.4,2042-02-03 00:00:00,92.121,4.042678818662189,2024-12-30,2024-12-31
563469TQ8,500000,"MANITOBA, PROVINCE OF",4.4,2042-03-05 00:00:00,103.119,4.143968580594986,2024-12-30,2024-12-31
6698278Z3,494000,"NOVA SCOTIA, PROVINCE OF",4.4,2042-06-01 00:00:00,103.439,4.121095107705934,2024-12-30,2024-12-31
1107098Y1,427000,"BRITISH COLUMBIA, PROVIN",4.3,2042-06-18 00:00:00,102.651,4.086058244308267,2024-12-30,2024-12-31
563469TW5,500000,"MANITOBA, PROVINCE OF",3.35,2043-03-05 00:00:00,89.654,4.167028141723602,2024-12-30,2024-12-31
68323AAY0,100000,"ONTARIO, PROVINCE OF",3.5,2043-06-02 00:00:00,92.676,4.068705687967634,2024-12-30,2024-12-31
642869AE1,500000,"NEW BRUNSWICK, PROVINCE",3.55,2043-06-03 00:00:00,92.183,4.161548492598895,2024-12-30,2024-12-31
013051DK0,470000,"ALBERTA, PROVINCE OF",3.45,2043-12-01 00:00:00,91.807,4.075279932934393,2024-12-30,2024-12-31
74814ZEK5,100000,"QUEBEC, PROVINCE OF",4.25,2043-12-01 00:00:00,101.69,4.120270509892327,2024-12-30,2024-12-31
110709GC0,100000,"BRITISH COLUMBIA, PROVIN",3.2,2044-06-18 00:00:00,87.726,4.123182066140268,2024-12-30,2024-12-31
448814HZ9,243000,HYDRO-QUEBEC,5,2045-02-15 00:00:00,111.598,4.144367095213158,2024-12-30,2024-12-31
803854JU3,500000,"SASKATCHEWAN, PROVINCE O",3.9,2045-06-02 00:00:00,97.143,4.107858403926127,2024-12-30,2024-12-31
68323ACC6,497000,"ONTARIO, PROVINCE OF",3.45,2045-06-02 00:00:00,91.388,4.07515041055119,2024-12-30,2024-12-31
642866GG6,500000,"NEW BRUNSWICK, PROVINCE",3.8,2045-08-14 00:00:00,94.705,4.185574744916458,2024-12-30,2024-12-31
563469UB9,500000,"MANITOBA, PROVINCE OF",4.05,2045-09-05 00:00:00,98.219,4.179139870055216,2024-12-30,2024-12-31
74814ZER0,451000,"QUEBEC, PROVINCE OF",3.5,2045-12-01 00:00:00,91.435,4.114405358391673,2024-12-30,2024-12-31
563469UF0,491000,"MANITOBA, PROVINCE OF",2.85,2046-09-05 00:00:00,81.218,4.175076539324441,2024-12-30,2024-12-31
651333FT8,500000,"NEWFOUNDLAND, PROVINCE O",3.3,2046-10-17 00:00:00,85.826,4.309047669867099,2024-12-30,2024-12-31
013051DS3,493000,"ALBERTA, PROVINCE OF",3.3,2046-12-01 00:00:00,88.427,4.105649907553543,2024-12-30,2024-12-31
68323ACY8,453000,"ONTARIO, PROVINCE OF",2.9,2046-12-02 00:00:00,83.135,4.07013624801326,2024-12-30,2024-12-31
803854KA5,486000,"SASKATCHEWAN, PROVINCE O",2.75,2046-12-02 00:00:00,80.731,4.089384510355353,2024-12-30,2024-12-31
68323ADZ4,50000,"ONTARIO, PROVINCE OF",2.8,2048-06-02 00:00:00,80.511,4.102754560396833,2024-12-30,2024-12-31
803854KC1,500000,"SASKATCHEWAN, PROVINCE O",3.3,2048-06-02 00:00:00,87.898,4.109431095765749,2024-12-30,2024-12-31
110709FQ0,487000,"BRITISH COLUMBIA, PROVIN",4.9,2048-06-18 00:00:00,111.323,4.140899947921227,2024-12-30,2024-12-31
11070TAG3,500000,"BRITISH COLUMBIA, PROVIN",2.8,2048-06-18 00:00:00,80.257,4.120668147749389,2024-12-30,2024-12-31
642866GL5,500000,"NEW BRUNSWICK, PROVINCE",3.1,2048-08-14 00:00:00,83.825,4.184402815431826,2024-12-30,2024-12-31
563469UN3,500000,"MANITOBA, PROVINCE OF",3.4,2048-09-05 00:00:00,87.946,4.208874947456951,2024-12-30,2024-12-31
651333FY7,495000,"NEWFOUNDLAND, PROVINCE O",3.7,2048-10-17 00:00:00,90.556,4.340116438992248,2024-12-30,2024-12-31
013051DY0,100000,"ALBERTA, PROVINCE OF",3.05,2048-12-01 00:00:00,83.582,4.137614845092902,2024-12-30,2024-12-31
74814ZEW9,50000,"QUEBEC, PROVINCE OF",3.5,2048-12-01 00:00:00,90.271,4.144893995150452,2024-12-30,2024-12-31
68333ZAA5,297000,"ONTARIO, PROVINCE OF",2.9,2049-06-02 00:00:00,81.906,4.076791032478965,2024-12-30,2024-12-31
448814JA2,100000,HYDRO-QUEBEC,5,2050-02-15 00:00:00,113.345,4.140221698531686,2024-12-30,2024-12-31
563469US2,100000,"MANITOBA, PROVINCE OF",3.2,2050-03-05 00:00:00,84.71,4.188299206131573,2024-12-30,2024-12-31
013051ED5,100000,"ALBERTA, PROVINCE OF",3.1,2050-06-01 00:00:00,84.301,4.1000221261624,2024-12-30,2024-12-31
803854KH0,480000,"SASKATCHEWAN, PROVINCE O",3.1,2050-06-02 00:00:00,84.325,4.098247504848395,2024-12-30,2024-12-31
110709GJ5,100000,"BRITISH COLUMBIA, PROVIN",2.95,2050-06-18 00:00:00,81.629,4.121802706594811,2024-12-30,2024-12-31
642866GQ4,500000,"NEW BRUNSWICK, PROVINCE",3.05,2050-08-14 00:00:00,82.393,4.175405718272361,2024-12-30,2024-12-31
651333GD2,495000,"NEWFOUNDLAND, PROVINCE O",2.65,2050-10-17 00:00:00,74.259,4.313467354342505,2024-12-30,2024-12-31
68333ZAG2,500000,"ONTARIO, PROVINCE OF",2.65,2050-12-02 00:00:00,77.62,4.05274955251652,2024-12-30,2024-12-31
74814ZFE8,100000,"QUEBEC, PROVINCE OF",3.1,2051-12-01 00:00:00,83.595,4.113398763529627,2024-12-30,2024-12-31
669827GB7,500000,"NOVA SCOTIA, PROVINCE OF",3.15,2051-12-01 00:00:00,83.722,4.160836999844463,2024-12-30,2024-12-31
68333ZAL1,100000,"ONTARIO, PROVINCE OF",1.9,2051-12-02 00:00:00,65.126,4.035949891076097,2024-12-30,2024-12-31
013051EQ6,25000,"ALBERTA, PROVINCE OF",2.95,2052-06-01 00:00:00,81.413,4.082814894332223,2024-12-30,2024-12-31
110709AG7,100000,"BRITISH COLUMBIA, PROVIN",2.75,2052-06-18 00:00:00,77.559,4.122668000442312,2024-12-30,2024-12-31
642866GS0,500000,"NEW BRUNSWICK, PROVINCE",2.9,2052-08-14 00:00:00,79.724,4.138487864046724,2024-12-30,2024-12-31
563469UW3,500000,"MANITOBA, PROVINCE OF",2.05,2052-09-05 00:00:00,65.93299999999999,4.125816256392195,2024-12-30,2024-12-31
56344ZPV5,500000,"MANITOBA, PROVINCE OF",3.15,2052-09-05 00:00:00,83.73,4.143176022864465,2024-12-30,2024-12-31
